full_name,html_url,description,language,stargazers_count,forks_count,open_issues_count,archived,topics,license,pushed_at,created_at,updated_at,default_branch
GangCaoLab/CoolBox,https://github.com/GangCaoLab/CoolBox,Jupyter notebook based genomic data visualization toolkit.,Python,247,40,38,False,,GPL-3.0,2025-10-28T08:19:34Z,2018-04-09T14:52:54Z,2025-08-29T01:22:29Z,master
assemblerflow/flowcraft,https://github.com/assemblerflow/flowcraft,FlowCraft: a component-based pipeline composer for omics analysis using Nextflow. :whale::package:,Python,245,45,44,False,bacterial;genomics;nextflow;pipeline,GPL-3.0,2025-08-10T08:45:01Z,2018-01-22T14:54:30Z,2025-09-09T09:12:42Z,master
gosling-lang/gos,https://github.com/gosling-lang/gos,A declarative interactive genomics visualization library for Python.,Python,229,15,13,False,biovis;colab;data-visualization;dataviz;gosling;grammar;hidivelab;higlass;jupyter;python;visualization,MIT,2025-10-13T16:16:54Z,2021-07-20T18:00:50Z,2025-09-17T16:28:43Z,main
AdmiralenOla/Scoary,https://github.com/AdmiralenOla/Scoary,Pan-genome wide association studies,Python,204,33,32,False,bacteria;gene-presence-absence;genomics;gwas;pan-genome,GPL-3.0,2024-05-29T09:08:05Z,2016-02-03T13:05:18Z,2025-09-30T10:34:54Z,master
tskit-dev/msprime,https://github.com/tskit-dev/msprime,Simulate genealogical trees and genomic sequence data using population genetic models,Python,201,88,83,False,coalescent;genetics;genomics;msprime;python;simulation;trees;tskit,GPL-3.0,2025-09-24T16:33:28Z,2014-09-15T10:25:14Z,2025-10-17T18:37:01Z,main
broadinstitute/seqr,https://github.com/broadinstitute/seqr, web-based analysis tool for rare disease genomics,Python,195,89,60,False,,AGPL-3.0,2025-10-28T19:40:08Z,2014-01-07T16:43:37Z,2025-10-27T15:32:06Z,master
broadinstitute/viral-ngs,https://github.com/broadinstitute/viral-ngs,[THIS REPO IS DEPRECATED] see newer repos: https://github.com/broadinstitute/viral-core https://github.com/broadinstitute/viral-assemble https://github.com/broadinstitute/viral-phylo https://github.com/broadinstitute/viral-classify https://github.com/broadinstitute/viral-pipelines,Python,195,67,64,False,bam;fastq;genome;genome-assembly;genome-sequencing;genomics;illumina;variant-annotations;variant-calling;viral;viral-ngs,NOASSERTION,2024-09-20T13:22:01Z,2014-09-25T19:00:24Z,2025-10-20T13:20:15Z,master
kipoi/models,https://github.com/kipoi/models,Model zoo for genomics,Python,169,60,44,False,,MIT,2024-07-24T00:18:31Z,2017-09-13T13:34:09Z,2025-10-08T10:38:44Z,master
kundajelab/bpnet,https://github.com/kundajelab/bpnet,Toolkit to train base-resolution deep neural networks on functional genomics data and to interpret them,Python,167,36,0,False,,MIT,2025-10-10T05:23:05Z,2019-07-26T23:10:04Z,2025-10-19T08:18:44Z,master
GoekeLab/xpore,https://github.com/GoekeLab/xpore,Identification of differential RNA modifications from nanopore direct RNA sequencing,Python,158,23,33,False,genomics;machine-learning;modification;nanopore;nanopore-sequencing;python;rna;rna-modifications;rna-seq;transcriptomics,MIT,2024-11-07T01:33:32Z,2020-01-06T07:44:22Z,2025-09-07T22:27:52Z,master
virajbdeshpande/AmpliconArchitect,https://github.com/virajbdeshpande/AmpliconArchitect,"AmpliconArchitect (AA) is a tool to identify one or more connected genomic regions which have simultaneous copy number amplification and elucidates the architecture of the amplicon.   In the current version, AA takes as input next generation sequencing reads (paired-end Illumina reads) mapped to the hg19/GRCh37 reference sequence and one or more regions of interest. Please ""watch"" this repository for improvements in runtime, accuracy and annotations for GRCh38 human reference genome coming up soon.",Python,155,44,74,False,,NOASSERTION,2024-06-18T22:44:35Z,2016-09-13T21:18:13Z,2025-10-09T15:37:32Z,master
nspies/genomeview,https://github.com/nspies/genomeview,An extensible python-based genomics visualization engine,Python,146,20,3,False,,MIT,2023-08-11T02:22:27Z,2017-07-14T17:03:16Z,2025-08-17T19:09:38Z,main
stevekm/IGV-snapshot-automator,https://github.com/stevekm/IGV-snapshot-automator,Script to automatically create and run IGV snapshot batchscripts,Python,143,50,5,False,genomics;genomics-visualization;igv,GPL-3.0,2023-01-13T17:22:11Z,2017-03-04T22:19:02Z,2025-09-28T05:47:09Z,master
asntech/intervene,https://github.com/asntech/intervene,Intervene: a tool for intersection and visualization of multiple genomic region and gene sets,Python,143,30,21,False,genome-analysis;heatmaps;venn-diagram;visualization,NOASSERTION,2023-10-28T03:40:01Z,2017-01-14T12:15:22Z,2025-08-25T15:38:23Z,master
qiyunlab/HGTector,https://github.com/qiyunlab/HGTector,HGTector2: Genome-wide prediction of horizontal gene transfer based on distribution of sequence homology patterns.,Python,136,32,29,False,evolution;genomics;horizontal-gene-transfer,BSD-3-Clause,2023-09-21T19:21:41Z,2013-05-10T14:08:25Z,2025-10-13T16:35:20Z,master
snayfach/MIDAS,https://github.com/snayfach/MIDAS,An integrated pipeline for estimating strain-level genomic variation from metagenomic data,Python,130,52,47,False,,GPL-3.0,2023-10-06T19:18:45Z,2015-02-17T23:02:37Z,2025-09-23T03:30:01Z,master
pachterlab/seqspec,https://github.com/pachterlab/seqspec,machine-readable file format for genomic library sequence and structure,Python,123,17,2,False,,MIT,2025-09-06T02:14:14Z,2022-01-24T20:11:50Z,2025-10-01T08:38:51Z,main
Phelimb/BIGSI,https://github.com/Phelimb/BIGSI,BItsliced Genomic Signature Index - Efficient indexing and search in very large collections of WGS data,Python,123,13,14,False,,MIT,2023-08-24T20:12:06Z,2016-08-28T21:12:24Z,2025-10-28T17:48:16Z,master
MAGICS-LAB/Genome_Factory,https://github.com/MAGICS-LAB/Genome_Factory,"An Integrated Library for Tuning, Deploying and Interpreting Genomic Models",Python,118,1,0,False,fine-tuning;foundation-models;genomics;large-language-models;lora;peft;training,,2025-09-20T04:55:00Z,2024-11-03T16:26:39Z,2025-09-30T18:30:39Z,main
caleblareau/mgatk,https://github.com/caleblareau/mgatk,mgatk: mitochondrial genome analysis toolkit,Python,108,29,12,False,epigenetics;genomics;genotype;mitochondrial;python3;r;single-cell,MIT,2025-01-20T05:37:44Z,2017-07-17T03:55:19Z,2025-06-09T07:58:12Z,master
AI-sandbox/gnomix,https://github.com/AI-sandbox/gnomix,"A fast, scalable, and accurate local ancestry method.",Python,104,15,26,False,ancestry;genomics;machine-learning,NOASSERTION,2024-07-03T17:15:35Z,2021-05-15T19:04:59Z,2025-10-20T13:23:32Z,main
WGLab/DeepMod,https://github.com/WGLab/DeepMod,"DeepMod: a deep-learning tool for genomic-scale, strand-sensitive and single-nucleotide based detection of DNA modifications",Python,104,35,22,False,,NOASSERTION,2023-03-08T20:15:56Z,2018-07-24T14:24:09Z,2025-03-31T11:54:51Z,master
bacpop/PopPUNK,https://github.com/bacpop/PopPUNK,PopPUNK 👨‍🎤 (POPulation Partitioning Using Nucleotide Kmers),Python,100,19,35,False,bacteria;genomics;k-mer;population-genetics;sketching,Apache-2.0,2025-08-11T16:24:26Z,2018-01-09T14:33:39Z,2025-08-11T16:24:48Z,master
Cassie07/PathOmics,https://github.com/Cassie07/PathOmics,"[MICCAI 2023 Oral] The official code of ""Pathology-and-genomics Multimodal Transformer for Survival Outcome Prediction"" (top 9%)",Python,98,14,1,False,,,2025-03-05T21:46:44Z,2023-07-19T01:04:39Z,2025-10-28T09:41:49Z,main
scverse/mudata,https://github.com/scverse/mudata,Multimodal Data (.h5mu) implementation for Python,Python,97,21,17,False,anndata;data-analysis;genomics;mudata;multi-omics;multimodal-omics-analysis;muon;scverse,BSD-3-Clause,2025-10-24T11:41:56Z,2021-08-04T22:12:18Z,2025-10-24T11:42:02Z,main
broadinstitute/gnomad_methods,https://github.com/broadinstitute/gnomad_methods,Hail helper functions for the gnomAD project and Translational Genomics Group,Python,96,31,18,False,exomes;genomes;genomics;hail,MIT,2025-10-23T13:59:04Z,2017-09-28T17:34:58Z,2025-09-30T20:38:14Z,main
vanallenlab/comut,https://github.com/vanallenlab/comut,CoMut is a Python library for visualizing genomic and phenotypic information via comutation plots,Python,95,27,14,False,,MIT,2024-08-01T20:59:53Z,2020-03-11T19:31:26Z,2025-09-09T09:17:21Z,master
scvae/scvae,https://github.com/scvae/scvae,Deep learning for single-cell transcript counts,Python,89,26,7,False,deep-learning;genomics;machine-learning;single-cell,Apache-2.0,2025-03-14T10:20:14Z,2017-02-13T11:42:21Z,2025-06-08T13:48:20Z,main
geronimp/enrichM,https://github.com/geronimp/enrichM,Toolbox for comparative genomics of MAGs,Python,85,21,30,False,,,2025-09-18T23:59:48Z,2016-11-24T11:09:59Z,2025-09-18T16:29:16Z,master
jmschrei/tfmodisco-lite,https://github.com/jmschrei/tfmodisco-lite,"A lite implementation of tfmodisco, a motif discovery algorithm for genomics experiments. ",Python,85,25,33,False,,MIT,2025-09-24T01:17:41Z,2022-08-03T21:58:42Z,2025-10-23T02:02:05Z,main
openvax/varcode,https://github.com/openvax/varcode,Library for manipulating genomic variants and predicting their effects,Python,85,25,33,False,,Apache-2.0,2024-07-03T16:04:13Z,2014-11-15T00:20:42Z,2025-08-06T01:56:06Z,main
y-hwang/gLM,https://github.com/y-hwang/gLM,Genomic language model predicts protein co-regulation and function,Python,83,10,8,False,,NOASSERTION,2025-03-19T23:13:23Z,2023-03-24T18:50:14Z,2025-10-27T13:23:26Z,main
AI-sandbox/neural-admixture,https://github.com/AI-sandbox/neural-admixture,Rapid population clustering with autoencoders,Python,82,11,4,False,admixture;ancestry-inference;genomics;machine-learning;population-genetics,,2025-09-29T17:48:07Z,2021-01-20T11:50:38Z,2025-10-09T07:50:44Z,main
tanjimin/C.Origami,https://github.com/tanjimin/C.Origami,"C.Origami, a prediction and screening framework for cell type-specific 3D chromatin structure.",Python,80,12,13,False,chromatin;computational-biology;convolutional-neural-network;deep-learning;genomics;hi-c;transformer,,2024-07-08T01:57:01Z,2022-10-12T15:51:18Z,2025-10-06T22:13:54Z,main
deprekate/PHANOTATE,https://github.com/deprekate/PHANOTATE,PHANOTATE: a gene caller for phages. ,Python,78,13,13,False,annotate-phage-genomes;annotation;genomics;phage,GPL-3.0,2024-12-02T18:24:08Z,2017-05-16T21:30:09Z,2025-09-28T17:06:15Z,master
AIBreeding/DNNGP,https://github.com/AIBreeding/DNNGP,DNNGP: Deep neural network for genomic prediction,Python,77,24,6,False,,,2025-07-30T08:36:47Z,2022-09-23T11:46:08Z,2025-10-19T06:07:12Z,main
ay-lab/mustache,https://github.com/ay-lab/mustache,Multi-scale Detection of Chromatin Loops from Hi-C and Micro-C Maps using Scale-Space Representation,Python,76,12,21,False,chromatin-loops;genomics;hi-c;micro-c,MIT,2025-01-24T19:04:18Z,2020-02-19T08:52:33Z,2025-09-09T12:12:24Z,master
snap-stanford/KGWAS,https://github.com/snap-stanford/KGWAS,KGWAS: novel genetics discovery enabled by massive functional genomics knowledge graph,Python,74,8,7,False,ai;functional-genomics;genetics;knowledge-graph,MIT,2025-03-07T06:09:48Z,2024-06-03T21:13:47Z,2025-09-18T21:01:16Z,master
wrf/genomeGTFtools,https://github.com/wrf/genomeGTFtools,convert various features into a GFF-like file for use in genome browsers,Python,72,27,1,False,genome-annotation;genome-browsers;genomics;gff;jbrowse;visualization,,2025-07-10T19:00:13Z,2015-04-02T09:19:23Z,2025-07-10T19:00:16Z,master
lucidrains/alphagenome,https://github.com/lucidrains/alphagenome,"Implementation of AlphaGenome, Deepmind's updated genomic attention model",Python,70,4,3,False,artificial-intelligence;attention-mechanisms;deep-learning;genomics;splicing;transformers,MIT,2025-08-04T18:35:20Z,2025-06-27T12:30:07Z,2025-10-21T08:22:03Z,main
BioinfoUNIBA/REDItools,https://github.com/BioinfoUNIBA/REDItools,REDItools are python scripts to investigate RNA editing at genomic scale.,Python,68,34,17,False,,NOASSERTION,2025-07-18T13:16:10Z,2019-05-29T09:47:32Z,2025-08-09T05:42:26Z,master
koszullab/chromosight,https://github.com/koszullab/chromosight,Computer vision based program for pattern recognition in chromosome (Hi-C) contact maps ,Python,68,10,1,False,chromatin-loops;genomics;hi-c;pattern-detection,NOASSERTION,2022-12-16T20:21:23Z,2019-07-10T13:36:14Z,2025-06-23T12:20:22Z,master
kislyuk/aegea,https://github.com/kislyuk/aegea,Amazon Web Services Operator Interface,Python,68,16,25,False,aws;aws-batch;aws-console;cli;cloud-init;docker;ec2;fargate;genomics;iam;mlops,Apache-2.0,2025-02-24T22:16:21Z,2016-03-02T23:53:33Z,2025-02-24T22:16:25Z,develop
BenLangmead/aws-indexes,https://github.com/BenLangmead/aws-indexes,Catalog of genomic indexes freely available from public clouds,Python,64,8,19,False,,,2025-08-14T20:56:09Z,2020-06-09T11:09:44Z,2025-10-06T15:17:10Z,master
vappiah/bacterial-genomics-tutorial,https://github.com/vappiah/bacterial-genomics-tutorial,,Python,59,42,4,False,,MIT,2024-01-25T13:15:05Z,2020-10-07T19:22:00Z,2025-10-26T16:45:00Z,main
iquasere/KEGGCharter,https://github.com/iquasere/KEGGCharter,A tool for representing genomic potential and transcriptomic expression into KEGG pathways,Python,59,7,1,False,kegg-ortholog;kegg-pathway;metabolic-pathways;metagenomics;metaproteomics;metatranscriptomics,BSD-3-Clause,2024-07-28T23:18:32Z,2020-05-16T13:34:08Z,2025-06-26T02:04:43Z,master
openproblems-bio/openproblems-v2,https://github.com/openproblems-bio/openproblems-v2,Formalizing and benchmarking open problems in single-cell genomics,Python,57,19,37,False,benchmarking;nextflow;single-cell;viash,MIT,2025-06-11T11:10:40Z,2021-04-06T12:20:54Z,2025-10-01T02:31:00Z,main
ksahlin/BESST,https://github.com/ksahlin/BESST,BESST - scaffolder for genomic assemblies,Python,57,13,13,False,,NOASSERTION,2023-07-06T21:18:05Z,2013-01-22T11:32:59Z,2025-09-09T09:15:28Z,master
Mike-Honey/covid-19-genomes,https://github.com/Mike-Honey/covid-19-genomes,Projects on COVID-19 topic of genomic sequencing - mostly DataViz,Python,55,0,1,False,coronavirus;covid-19;data-visualization;genomics;global;powerbi,MIT,2025-10-26T13:00:38Z,2021-05-19T07:52:14Z,2025-10-26T13:00:42Z,main
lucidrains/flash-genomics-model,https://github.com/lucidrains/flash-genomics-model,"My own attempt at a long context genomics model, leveraging recent advances in long context attention modeling (Flash Attention + other hierarchical methods)",Python,54,5,0,False,artificial-intelligence;attention-mechanisms;deep-learning;genomics;long-context;transformers,MIT,2023-07-02T17:27:02Z,2023-05-18T17:37:38Z,2025-10-04T14:19:08Z,main
deepgenomics/GenomeKit,https://github.com/deepgenomics/GenomeKit,"A Python library for fast and easy access to genomic resources such as sequence, data tracks, and annotations",Python,54,8,11,False,,Apache-2.0,2025-09-30T14:58:52Z,2024-03-06T20:41:48Z,2025-10-20T21:06:39Z,main
YaqiangCao/cLoops2,https://github.com/YaqiangCao/cLoops2,Enhanced and elegant flexible peak/loop/domain -calling and analysis tool for 1D/3D genomic data.,Python,52,9,2,False,3d-genome;3d-genome-visualization;bioinformatics-tool;chia-pet;chromatin-interaction;cloops2;clustering;differential-enriched-loops;domains;hi-c;hichip;loops;montage;next-generation-sequencing;peaks;python;rehoboam;stripes;trac-looping;un-limited-resolution,BSD-3-Clause,2025-06-17T14:08:01Z,2018-05-17T14:45:29Z,2025-10-17T07:07:51Z,master
SWittouck/SCARAP,https://github.com/SWittouck/SCARAP,A toolkit for prokaryotic comparative genomics,Python,51,7,7,False,comparative-genomics;pangenome-inference;pangenome-pipeline,GPL-3.0,2025-10-17T11:35:46Z,2018-12-19T13:20:57Z,2025-10-17T11:35:49Z,master
materialsproject/pymatgen-db,https://github.com/materialsproject/pymatgen-db,Pymatgen-db provides an addon to the Python Materials Genomics (pymatgen) library (https://pypi.python.org/pypi/pymatgen) that allows the creation of Materials Project-style databases for management of materials data.,Python,51,40,3,False,,MIT,2025-10-06T19:45:49Z,2013-02-27T15:03:19Z,2025-09-19T06:50:11Z,master
Clinical-Genomics/chanjo,https://github.com/Clinical-Genomics/chanjo,Chanjo provides a better way to analyze coverage data in clinical sequencing.,Python,51,12,31,False,bioconda;coverage;genomics;python;sambamba;sql,MIT,2024-12-10T09:23:05Z,2013-07-05T13:22:17Z,2025-07-01T06:26:56Z,main
krishnaik06/The-Grand-Complete-Data-Science-Materials,https://github.com/krishnaik06/The-Grand-Complete-Data-Science-Materials,,Python,8248,4247,82,False,,GPL-2.0,2024-08-04T07:14:11Z,2023-09-19T06:19:22Z,2025-10-29T05:32:06Z,main
thunil/TecoGAN,https://github.com/thunil/TecoGAN,This repo contains source code and materials for the TEmporally COherent GAN SIGGRAPH project.,Python,6129,1142,87,False,,Apache-2.0,2023-08-17T20:55:56Z,2019-03-09T13:31:26Z,2025-10-26T05:38:43Z,master
anushka23g/Complete-Placement-Preparation,https://github.com/anushka23g/Complete-Placement-Preparation,This repository consists of all the material required for cracking the coding rounds and technical interviews during placements.,Python,3897,1079,4,False,algorithms;algorithms-and-data-structures;amazon;aws;data-structures;datastructures;datastructures-algorithms;dream-company;dsa-for-free;faang;faang-interview;faang-preparation;google;interview;language;placement;placement-preparation;placement-preparation-portal;placements;technical-interviews,,2025-07-30T14:13:52Z,2020-12-25T09:58:19Z,2025-10-28T21:23:57Z,main
scipy-lectures/scientific-python-lectures,https://github.com/scipy-lectures/scientific-python-lectures,Tutorial material on the scientific Python ecosystem,Python,3168,1207,28,False,,NOASSERTION,2025-10-01T12:02:47Z,2010-05-19T20:42:33Z,2025-10-28T15:59:49Z,main
UN-GCPDS/qt-material,https://github.com/UN-GCPDS/qt-material,"Material inspired stylesheet for PySide2, PySide6, PyQt5 and PyQt6",Python,2747,275,58,False,pyqt;pyqt5;pyqt6;pyside;pyside2;pyside6,BSD-2-Clause,2024-05-16T21:26:30Z,2020-06-11T22:04:21Z,2025-10-28T12:19:33Z,master
kivymd/KivyMD,https://github.com/kivymd/KivyMD,"KivyMD is a collection of Material Design compliant widgets for use with Kivy, a framework for cross-platform, touch-enabled graphical applications. https://youtube.com/c/KivyMD https://twitter.com/KivyMD https://habr.com/ru/users/kivymd https://stackoverflow.com/tags/kivymd",Python,2413,695,87,False,android;app;cross-platform;ios;kivy;kivymd;library;linux;macos;material-design;python;ui;windows,MIT,2025-10-26T11:44:03Z,2018-08-29T18:16:24Z,2025-10-27T11:04:44Z,master
Tencent-Hunyuan/Hunyuan3D-2.1,https://github.com/Tencent-Hunyuan/Hunyuan3D-2.1,From Images to High-Fidelity 3D Assets with Production-Ready PBR Material,Python,2325,306,124,False,3d;3d-aigc;3d-generation;hunyuan3d;image-to-3d;shape;shape-generation;text-to-3d;texture-genertaion,NOASSERTION,2025-10-17T10:10:07Z,2025-06-13T15:45:50Z,2025-10-29T05:31:09Z,main
NVlabs/nvdiffrec,https://github.com/NVlabs/nvdiffrec,"Official code for the CVPR 2022 (oral) paper ""Extracting Triangular 3D Models, Materials, and Lighting From Images"".",Python,2243,231,71,False,deep-learning;pytorch,NOASSERTION,2024-05-02T11:08:55Z,2021-11-24T09:25:05Z,2025-10-27T11:37:24Z,main
cosme12/SimpleCoin,https://github.com/cosme12/SimpleCoin,"Just a really simple, insecure and incomplete implementation of a blockchain for a cryptocurrency made in Python as educational material. In other words, a simple Bitcoin clone.",Python,1799,394,34,False,bitcoin;blockchain;cryptocurrency;python,MIT,2023-06-05T04:23:16Z,2018-01-14T02:51:44Z,2025-10-18T17:54:23Z,master
chn-lee-yumi/MaterialSearch,https://github.com/chn-lee-yumi/MaterialSearch,Semantic search. Search local photos and videos through natural language. AI语义搜索本地素材。以图搜图、查找本地素材、根据文字描述匹配画面、视频帧搜索、根据画面描述搜索视频。,Python,1715,195,9,False,,GPL-3.0,2025-10-13T12:54:21Z,2023-03-16T11:33:21Z,2025-10-29T02:30:15Z,main
microsoft/mattergen,https://github.com/microsoft/mattergen,Official implementation of MatterGen -- a generative model for inorganic materials design across the periodic table that can be fine-tuned to steer the generation towards a wide range of property constraints.,Python,1530,280,8,False,generative-ai;materials-design;materials-science,MIT,2025-10-06T12:38:53Z,2024-11-27T11:09:38Z,2025-10-28T18:43:02Z,main
koeqaife/hyprland-material-you,https://github.com/koeqaife/hyprland-material-you,"Dynamic and elegant desktop setup inspired by Material You, featuring auto-generated colors, fluid animations, and customizable user experience.",Python,1211,49,3,False,arch-linux;archlinux;dotfiles;hyprland;hyprland-config;linux;material-3;material-design;material-you;rice;unixporn;wayland,GPL-3.0,2025-10-25T19:40:07Z,2024-06-16T21:58:12Z,2025-10-29T04:10:04Z,v2
maxpumperla/deep_learning_and_the_game_of_go,https://github.com/maxpumperla/deep_learning_and_the_game_of_go,"Code and other material for the book ""Deep Learning and the Game of Go""",Python,1038,408,58,False,alphago;alphago-zero;data-science;deep-learning;game-of-go;games;machine-learning;neural-networks;python,,2024-08-02T16:20:00Z,2017-10-25T21:32:32Z,2025-10-22T11:35:49Z,master
sqlparser/sqlflow_public,https://github.com/sqlparser/sqlflow_public,"Document, sample code and other materials for SQLFlow",Python,1005,188,3,False,,NOASSERTION,2025-10-02T11:15:42Z,2019-10-22T03:48:01Z,2025-10-24T19:35:27Z,master
tern-tools/tern,https://github.com/tern-tools/tern,"Tern is a software composition analysis tool and Python library that generates a Software Bill of Materials for container images and Dockerfiles. The SBOM that Tern generates will give you a layer-by-layer view of what's inside your container in a variety of formats including human-readable, JSON, HTML, SPDX and more. ",Python,1003,189,62,False,compliance;containers;dependencies;docker;metadata-extraction;open-source;oss-compliance;python;risk-management;sbom;software-composition-analysis;spdx;supply-chain-security;tool,BSD-2-Clause,2024-03-12T22:41:47Z,2017-11-27T23:32:17Z,2025-10-09T17:25:19Z,main
AlbusSec/Penetration-List,https://github.com/AlbusSec/Penetration-List,"Penetration-List: A comprehensive resource for testers, covering all types of vulnerabilities and materials used in Penetration Testing. Includes payloads, dorks, fuzzing materials, and offers in-depth theory sections. Visit our Medium profile for more information.",Python,865,201,1,False,,,2024-01-14T16:20:59Z,2021-12-23T19:02:20Z,2025-10-26T18:01:52Z,main
mikeckennedy/python-jumpstart-course-demos,https://github.com/mikeckennedy/python-jumpstart-course-demos,"Contains all the ""handout"" materials for my Python Jumpstart by Building 10 Apps course. This includes try it yourself and finished versions of the 10 apps.",Python,751,527,0,False,,MIT,2025-02-26T16:14:26Z,2016-02-24T11:35:52Z,2025-10-08T17:54:39Z,master
texturedesign/texturize,https://github.com/texturedesign/texturize,"🤖🖌️ Generate photo-realistic textures based on source images or (soon) PBR materials. Remix, remake, mashup! Useful if you want to create variations on a theme or elaborate on an existing texture.",Python,739,33,4,False,command-line-tool;computational-photography;deep-learning;generative-model;image-generation;image-manipulation;image-processing;pbr-materials;python3;texture-generation;texture-synthesis,AGPL-3.0,2023-04-09T22:39:34Z,2018-09-08T09:02:20Z,2025-10-25T23:11:31Z,master
mikeckennedy/write-pythonic-code-demos,https://github.com/mikeckennedy/write-pythonic-code-demos,Write Pythonic Code Like a Seasoned Developer video course demo materials.,Python,734,182,0,False,,MIT,2024-09-13T05:22:30Z,2016-05-27T10:24:47Z,2025-10-23T20:27:26Z,master
SkafteNicki/dtu_mlops,https://github.com/SkafteNicki/dtu_mlops,Exercises and supplementary material for the machine learning operations course at DTU.,Python,731,562,37,False,,Apache-2.0,2025-10-26T12:05:01Z,2021-04-07T09:27:30Z,2025-10-14T04:26:09Z,main
evildmp/BrachioGraph,https://github.com/evildmp/BrachioGraph,BrachioGraph is an ultra-cheap (total cost of materials: €14) plotter that can be built with minimal skills.,Python,726,122,35,False,hardware;plotting;python;raspberry-pi;robotics,MIT,2025-09-24T20:45:01Z,2018-12-24T18:02:43Z,2025-10-23T07:54:10Z,main
nordquant/complete-dbt-bootcamp-zero-to-hero,https://github.com/nordquant/complete-dbt-bootcamp-zero-to-hero,Supplementary Materials for the The Complete dbt (Data Build Tool) Bootcamp Udemy course,Python,703,504,0,False,analytics-engineering;data-engineering;dbt;dbt-packages,NOASSERTION,2025-10-23T05:34:24Z,2022-02-24T17:12:51Z,2025-10-27T16:02:21Z,main
rantonels/starless,https://github.com/rantonels/starless,Starless is a CPU black hole raytracer in numpy suitable for both informative diagrams and decent wallpaper material.,Python,703,81,9,False,,GPL-3.0,2024-06-01T12:06:37Z,2015-03-05T21:28:27Z,2025-10-22T23:23:20Z,master
Grim-es/material-combiner-addon,https://github.com/Grim-es/material-combiner-addon,"Blender addon for material combining, uv bounds fixing",Python,643,50,15,False,addon;atlas;atlaser;avatar;blender;material;vrchat,GPL-3.0,2025-09-11T12:47:06Z,2018-08-21T05:44:17Z,2025-10-28T03:17:30Z,master
luisbocanegra/kde-material-you-colors,https://github.com/luisbocanegra/kde-material-you-colors,Automatic color scheme generator from your wallpaper for KDE Plasma powered by Material You,Python,636,11,22,False,colorscheme;dynamic-color;kde;kde-plasma;konsole;konsole-color-schemes;linux;linux-desktop;material-you;plasma;plasma-applet;plasma-color-scheme;plasma6;plasmoid;python;pywal;theme,GPL-3.0,2025-10-12T06:56:12Z,2022-03-15T11:56:12Z,2025-10-25T03:45:36Z,main
microsoft/OpenAIWorkshop,https://github.com/microsoft/OpenAIWorkshop,workshop materials to build intelligent solutions on Open AI,Python,635,366,7,False,azure;cognitive-services;machine-learning;openai,MIT,2025-10-28T22:31:45Z,2023-02-22T16:58:45Z,2025-10-28T07:18:10Z,main
materialsintelligence/mat2vec,https://github.com/materialsintelligence/mat2vec,"Supplementary Materials for Tshitoyan et al. ""Unsupervised word embeddings capture latent knowledge from materials science literature"", Nature (2019).",Python,630,184,8,False,,MIT,2023-05-06T22:45:49Z,2019-04-25T07:55:30Z,2025-10-09T05:43:39Z,master
MMD-Blender/blender_mmd_tools_append,https://github.com/MMD-Blender/blender_mmd_tools_append,"mmd_tools_append is a blender addon for adjust scenes, models and materials in concert with mmd_tools",Python,555,36,26,False,blender-addon;mmd,GPL-3.0,2025-10-22T06:02:05Z,2021-01-06T10:46:44Z,2025-10-28T06:11:24Z,main
taichi-dev/taichi_elements,https://github.com/taichi-dev/taichi_elements,High-performance multi-material continuum physics engine in Taichi,Python,544,81,24,False,,MIT,2024-04-14T20:43:07Z,2020-01-02T19:46:31Z,2025-10-20T19:16:03Z,master
talkpython/data-driven-web-apps-with-flask,https://github.com/talkpython/data-driven-web-apps-with-flask,Course demo code and other hand-out materials for our data-driven web apps in Flask course,Python,541,506,5,False,course;course-demo;flask;flask-course;fullstack;mongodb;online-learning;python;python3;sqlalchemy;unit-testing,MIT,2025-10-28T14:46:48Z,2019-03-22T21:16:52Z,2025-10-28T14:46:52Z,master
vlall/Darksearch,https://github.com/vlall/Darksearch,":mag::shipit: Search engine for hidden material. Scraping dark web onions, irc logs, deep web etc...",Python,506,90,14,False,dark-web;darkweb;deep-web;search;search-engine,,2022-12-26T20:14:58Z,2015-12-09T18:25:56Z,2025-10-26T07:31:55Z,master
orbital-materials/orb-models,https://github.com/orbital-materials/orb-models,ORB forcefield models from Orbital Materials,Python,503,68,9,False,,Apache-2.0,2025-10-24T07:56:42Z,2024-08-30T15:27:25Z,2025-10-21T07:35:54Z,main
LechGrzelak/Computational-Finance-Course,https://github.com/LechGrzelak/Computational-Finance-Course,Here you will find materials for the course of Computational Finance,Python,463,157,0,False,,BSD-3-Clause,2024-03-01T11:58:38Z,2021-02-20T16:09:03Z,2025-10-28T17:40:34Z,main
insideofdrop/Dropbox-Interview-Prep,https://github.com/insideofdrop/Dropbox-Interview-Prep,Preparation material for Dropbox interviews,Python,463,125,1,False,,,2023-07-23T13:33:06Z,2021-02-25T23:52:38Z,2025-10-09T01:26:49Z,main
materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials,Python,448,93,6,False,deep;graph;learning;materials-informatics;materials-science,BSD-3-Clause,2025-10-27T14:10:32Z,2022-08-29T18:36:05Z,2025-10-28T17:39:32Z,main
